_framework_ref,id,framework,domain,sub_domain,control,detail
ID.RA-03,NIST CSF v2.0-ID.RA-03,NIST CSF v2.0,IDENTIFY (ID),Risk Assessment (ID.RA),ID.RA-03: Internal and external threats to the organization are identified and recorded,1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Use cyber threat intelligence to maintain awareness of the types of threat actors likely to target the organization and the TTPs they are likely to use Ex2: Perform threat hunting to look for signs of threat actors within the environment Ex3: Implement processes for identifying internal threat actors
ID.RA-04,NIST CSF v2.0-ID.RA-04,NIST CSF v2.0,IDENTIFY (ID),Risk Assessment (ID.RA),ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,"1st: 1st Party Risk Ex1: Business leaders and cybersecurity risk management practitioners work together to estimate the likelihood and impact of risk scenarios and record them in risk registers Ex2: Enumerate the potential business impacts of unauthorized access to the organization's communications, systems, and data processed in or by those systems Ex3: Account for the potential impacts of cascading failures for systems of systems"
ID.RA-05,NIST CSF v2.0-ID.RA-05,NIST CSF v2.0,IDENTIFY (ID),Risk Assessment (ID.RA),"ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",1st: 1st Party Risk Ex1: Develop threat models to better understand risks to the data and identify appropriate risk responses Ex2: Prioritize cybersecurity resource allocations and investments based on estimated likelihoods and impacts
ID.RA-06,NIST CSF v2.0-ID.RA-06,NIST CSF v2.0,IDENTIFY (ID),Risk Assessment (ID.RA),"ID.RA-06: Risk responses are chosen, prioritized, planned, tracked, and communicated","1st: 1st Party Risk Ex1: Apply the vulnerability management plan's criteria for deciding whether to accept, transfer, mitigate, or avoid risk Ex2: Apply the vulnerability management plan's criteria for selecting compensating controls to mitigate risk Ex3: Track the progress of risk response implementation (e.g., plan of action and milestones [POA&M], risk register, risk detail report) Ex4: Use risk assessment findings to inform risk response decisions and actions Ex5: Communicate planned risk responses to affected stakeholders in priority order"
ID.RA-07,NIST CSF v2.0-ID.RA-07,NIST CSF v2.0,IDENTIFY (ID),Risk Assessment (ID.RA),"ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked","Ex1: Implement and follow procedures for the formal documentation, review, testing, and approval of proposed changes and requested exceptions Ex2: Document the possible risks of making or not making each proposed change, and provide guidance on rolling back changes Ex3: Document the risks related to each requested exception and the plan for responding to those risks Ex4: Periodically review risks that were accepted based upon planned future actions or milestones"
ID.RA-08,NIST CSF v2.0-ID.RA-08,NIST CSF v2.0,IDENTIFY (ID),Risk Assessment (ID.RA),"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established","1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Conduct vulnerability information sharing between the organization and its suppliers following the rules and protocols defined in contracts Ex2: Assign responsibilities and verify the execution of procedures for processing, analyzing the impact of, and responding to cybersecurity threat, vulnerability, or incident disclosures by suppliers, customers, partners, and government cybersecurity organizations"
ID.RA-09,NIST CSF v2.0-ID.RA-09,NIST CSF v2.0,IDENTIFY (ID),Risk Assessment (ID.RA),ID.RA-09: The authenticity and integrity of hardware and software are assessed prior to acquisition and use,Ex1: Assess the authenticity and cybersecurity of critical technology products and services prior to acquisition and use 3rd: 3rd Party Risk
ID.RA-10,NIST CSF v2.0-ID.RA-10,NIST CSF v2.0,IDENTIFY (ID),Risk Assessment (ID.RA),ID.RA-10: Critical suppliers are assessed prior to acquisition,"Ex1: Conduct supplier risk assessments against business and applicable cybersecurity requirements, including the supply chain"
PR.AA-01,NIST CSF v2.0-PR.AA-01,NIST CSF v2.0,PROTECT (PR),"Identity Management, Authentication, and Access Control (PR.AA)","PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization","1st: 1st Party Risk Ex1: Initiate requests for new access or additional access for employees, contractors, and others, and track, review, and fulfill the requests, with permission from system or data owners when needed Ex2: Issue, manage, and revoke cryptographic certificates and identity tokens, cryptographic keys (i.e., key management), and other credentials Ex3: Select a unique identifier for each device from immutable hardware characteristics or an identifier securely provisioned to the device Ex4: Physically label authorized hardware with an identifier for inventory and servicing purposes"
PR.AA-02,NIST CSF v2.0-PR.AA-02,NIST CSF v2.0,PROTECT (PR),"Identity Management, Authentication, and Access Control (PR.AA)",PR.AA-02: Identities are proofed and bound to credentials based on the context of interactions,"1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Verify a person's claimed identity at enrollment time using government-issued identity credentials (e.g., passport, visa, driver's license) Ex2: Issue a different credential for each person (i.e., no credential sharing)"
PR.AA-03,NIST CSF v2.0-PR.AA-03,NIST CSF v2.0,PROTECT (PR),"Identity Management, Authentication, and Access Control (PR.AA)","PR.AA-03: Users, services, and hardware are authenticated","1st: 1st Party Risk Ex1: Require multifactor authentication Ex2: Enforce policies for the minimum strength of passwords, PINs, and similar authenticators Ex3: Periodically reauthenticate users, services, and hardware based on risk (e.g., in zero trust architectures) Ex4: Ensure that authorized personnel can access accounts essential for protecting safety under emergency conditions"
PR.AA-04,NIST CSF v2.0-PR.AA-04,NIST CSF v2.0,PROTECT (PR),"Identity Management, Authentication, and Access Control (PR.AA)","PR.AA-04: Identity assertions are protected, conveyed, and verified","1st: 1st Party Risk Ex1: Protect identity assertions that are used to convey authentication and user information through single sign-on systems Ex2: Protect identity assertions that are used to convey authentication and user information between federated systems Ex3: Implement standards-based approaches for identity assertions in all contexts, and follow all guidance for the generation (e.g., data models, metadata), protection (e.g., digital signing, encryption), and verification (e.g., signature validation) of identity assertions"
PR.AA-05,NIST CSF v2.0-PR.AA-05,NIST CSF v2.0,PROTECT (PR),"Identity Management, Authentication, and Access Control (PR.AA)","PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties","1st: 1st Party Risk Ex1: Review logical and physical access privileges periodically and whenever someone changes roles or leaves the organization, and promptly rescind privileges that are no longer needed Ex2: Take attributes of the requester and the requested resource into account for authorization decisions (e.g., geolocation, day/time, requester endpoint's cyber health) Ex3: Restrict access and privileges to the minimum necessary (e.g., zero trust architecture) Ex4: Periodically review the privileges associated with critical business functions to confirm proper separation of duties"
PR.AA-06,NIST CSF v2.0-PR.AA-06,NIST CSF v2.0,PROTECT (PR),"Identity Management, Authentication, and Access Control (PR.AA)","PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk","1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Use security guards, security cameras, locked entrances, alarm systems, and other physical controls to monitor facilities and restrict access Ex2: Employ additional physical security controls for areas that contain high-risk assets Ex3: Escort guests, vendors, and other third parties within areas that contain business-critical assets"
PR.AT-01,NIST CSF v2.0-PR.AT-01,NIST CSF v2.0,PROTECT (PR),Awareness and Training (PR.AT),PR.AT-01: Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,"1st: 1st Party Risk Ex1: Provide basic cybersecurity awareness and training to employees, contractors, partners, suppliers, and all other users of the organization's non-public resources Ex2: Train personnel to recognize social engineering attempts and other common attacks, report attacks and suspicious activity, comply with acceptable use policies, and perform basic cyber hygiene tasks (e.g., patching software, choosing passwords, protecting credentials) Ex3: Explain the consequences of cybersecurity policy violations, both to individual users and the organization as a whole Ex4: Periodically assess or test users on their understanding of basic cybersecurity practices Ex5: Require annual refreshers to reinforce existing practices and introduce new practices"
PR.AT-02,NIST CSF v2.0-PR.AT-02,NIST CSF v2.0,PROTECT (PR),Awareness and Training (PR.AT),PR.AT-02: Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,"1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Identify the specialized roles within the organization that require additional cybersecurity training, such as physical and cybersecurity personnel, finance personnel, senior leadership, and anyone with access to business-critical data Ex2: Provide role-based cybersecurity awareness and training to all those in specialized roles, including contractors, partners, suppliers, and other third parties Ex3: Periodically assess or test users on their understanding of cybersecurity practices for their specialized roles Ex4: Require annual refreshers to reinforce existing practices and introduce new practices"
PR.DS-01,NIST CSF v2.0-PR.DS-01,NIST CSF v2.0,PROTECT (PR),Data Security (PR.DS),"PR.DS-01: The confidentiality, integrity, and availability of data-at-rest are protected","1st: 1st Party Risk Ex1: Use encryption, digital signatures, and cryptographic hashes to protect the confidentiality and integrity of stored data in files, databases, virtual machine disk images, container images, and other resources Ex2: Use full disk encryption to protect data stored on user endpoints Ex3: Confirm the integrity of software by validating signatures Ex4: Restrict the use of removable media to prevent data exfiltration Ex5: Physically secure removable media containing unencrypted sensitive information, such as within locked offices or file cabinets"
PR.DS-02,NIST CSF v2.0-PR.DS-02,NIST CSF v2.0,PROTECT (PR),Data Security (PR.DS),"PR.DS-02: The confidentiality, integrity, and availability of data-in-transit are protected","1st: 1st Party Risk Ex1: Use encryption, digital signatures, and cryptographic hashes to protect the confidentiality and integrity of network communications Ex2: Automatically encrypt or block outbound emails and other communications that contain sensitive data, depending on the data classification Ex3: Block access to personal email, file sharing, file storage services, and other personal communications applications and services from organizational systems and networks Ex4: Prevent reuse of sensitive data from production environments (e.g., customer records) in development, testing, and other non-production environments"
PR.DS-10,NIST CSF v2.0-PR.DS-10,NIST CSF v2.0,PROTECT (PR),Data Security (PR.DS),"PR.DS-10: The confidentiality, integrity, and availability of data-in-use are protected","1st: 1st Party Risk Ex1: Remove data that must remain confidential (e.g., from processors and memory) as soon as it is no longer needed Ex2: Protect data in use from access by other users and processes of the same platform"
PR.DS-11,NIST CSF v2.0-PR.DS-11,NIST CSF v2.0,PROTECT (PR),Data Security (PR.DS),"PR.DS-11: Backups of data are created, protected, maintained, and tested","1st: 1st Party Risk Ex1: Continuously back up critical data in near-real-time, and back up other data frequently at agreed-upon schedules Ex2: Test backups and restores for all types of data sources at least annually Ex3: Securely store some backups offline and offsite so that an incident or disaster will not damage them Ex4: Enforce geographic separation and geolocation restrictions for data backup storage"
PR.IR-01,NIST CSF v2.0-PR.IR-01,NIST CSF v2.0,PROTECT (PR),Technology Infrastructure Resilience (PR.IR),PR.IR-01: Networks and environments are protected from unauthorized logical access and usage,"1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Logically segment organization networks and cloud-based platforms according to trust boundaries and platform types (e.g., IT, IoT, OT, mobile, guests), and permit required communications only between segments Ex2: Logically segment organization networks from external networks, and permit only necessary communications to enter the organization's networks from the external networks Ex3: Implement zero trust architectures to restrict network access to each resource to the minimum necessary Ex4: Check the cyber health of endpoints before allowing them to access and use production resources"
PR.IR-02,NIST CSF v2.0-PR.IR-02,NIST CSF v2.0,PROTECT (PR),Technology Infrastructure Resilience (PR.IR),PR.IR-02: The organization's technology assets are protected from environmental threats,"1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Protect organizational equipment from known environmental threats, such as flooding, fire, wind, and excessive heat and humidity Ex2: Include protection from environmental threats and provisions for adequate operating infrastructure in requirements for service providers that operate systems on the organization's behalf"
PR.IR-03,NIST CSF v2.0-PR.IR-03,NIST CSF v2.0,PROTECT (PR),Technology Infrastructure Resilience (PR.IR),PR.IR-03: Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,1st: 1st Party Risk Ex1: Avoid single points of failure in systems and infrastructure Ex2: Use load balancing to increase capacity and improve reliability Ex3: Use high-availability components like redundant storage and power supplies to improve system reliability
PR.IR-04,NIST CSF v2.0-PR.IR-04,NIST CSF v2.0,PROTECT (PR),Technology Infrastructure Resilience (PR.IR),PR.IR-04: Adequate resource capacity to ensure availability is maintained,"Ex1: Monitor usage of storage, power, compute, network bandwidth, and other resources Ex2: Forecast future needs, and scale resources accordingly"
PR.PS-01,NIST CSF v2.0-PR.PS-01,NIST CSF v2.0,PROTECT (PR),Platform Security (PR.PS),PR.PS-01: Configuration management practices are established and applied,"1st: 1st Party Risk Ex1: Establish, test, deploy, and maintain hardened baselines that enforce the organization's cybersecurity policies and provide only essential capabilities (i.e., principle of least functionality) Ex2: Review all default configuration settings that may potentially impact cybersecurity when installing or upgrading software Ex3: Monitor implemented software for deviations from approved baselines"
PR.PS-02,NIST CSF v2.0-PR.PS-02,NIST CSF v2.0,PROTECT (PR),Platform Security (PR.PS),"PR.PS-02: Software is maintained, replaced, and removed commensurate with risk","1st: 1st Party Risk Ex1: Perform routine and emergency patching within the timeframes specified in the vulnerability management plan Ex2: Update container images, and deploy new container instances to replace rather than update existing instances Ex3: Replace end-of-life software and service versions with supported, maintained versions Ex4: Uninstall and remove unauthorized software and services that pose undue risks Ex5: Uninstall and remove any unnecessary software components (e.g., operating system utilities) that attackers might misuse Ex6: Define and implement plans for software and service end-of-life maintenance support and obsolescence"
PR.PS-03,NIST CSF v2.0-PR.PS-03,NIST CSF v2.0,PROTECT (PR),Platform Security (PR.PS),"PR.PS-03: Hardware is maintained, replaced, and removed commensurate with risk","1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Replace hardware when it lacks needed security capabilities or when it cannot support software with needed security capabilities Ex2: Define and implement plans for hardware end-of-life maintenance support and obsolescence Ex3: Perform hardware disposal in a secure, responsible, and auditable manner"
PR.PS-04,NIST CSF v2.0-PR.PS-04,NIST CSF v2.0,PROTECT (PR),Platform Security (PR.PS),PR.PS-04: Log records are generated and made available for continuous monitoring,"1st: 1st Party Risk Ex1: Configure all operating systems, applications, and services (including cloud-based services) to generate log records Ex2: Configure log generators to securely share their logs with the organization's logging infrastructure systems and services Ex3: Configure log generators to record the data needed by zero-trust architectures"
PR.PS-05,NIST CSF v2.0-PR.PS-05,NIST CSF v2.0,PROTECT (PR),Platform Security (PR.PS),PR.PS-05: Installation and execution of unauthorized software are prevented,"1st: 1st Party Risk Ex1: When risk warrants it, restrict software execution to permitted products only or deny the execution of prohibited and unauthorized software Ex2: Verify the source of new software and the software's integrity before installing it Ex3: Configure platforms to use only approved DNS services that block access to known malicious domains Ex4: Configure platforms to allow the installation of organization-approved software only"
PR.PS-06,NIST CSF v2.0-PR.PS-06,NIST CSF v2.0,PROTECT (PR),Platform Security (PR.PS),"PR.PS-06: Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle","1st: 1st Party Risk Ex1: Protect all components of organization-developed software from tampering and unauthorized access Ex2: Secure all software produced by the organization, with minimal vulnerabilities in their releases Ex3: Maintain the software used in production environments, and securely dispose of software once it is no longer needed"
RC.CO-03,NIST CSF v2.0-RC.CO-03,NIST CSF v2.0,RECOVER (RC),Incident Recovery Communication (RC.CO),RC.CO-03: Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,"1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Securely share recovery information, including restoration progress, consistent with response plans and information sharing agreements Ex2: Regularly update senior leadership on recovery status and restoration progress for major incidents Ex3: Follow the rules and protocols defined in contracts for incident information sharing between the organization and its suppliers Ex4: Coordinate crisis communication between the organization and its critical suppliers"
RC.CO-04,NIST CSF v2.0-RC.CO-04,NIST CSF v2.0,RECOVER (RC),Incident Recovery Communication (RC.CO),RC.CO-04: Public updates on incident recovery are shared using approved methods and messaging,1st: 1st Party Risk Ex1: Follow the organization's breach notification procedures for recovering from a data breach incident Ex2: Explain the steps being taken to recover from the incident and to prevent a recurrence
RC.RP-01,NIST CSF v2.0-RC.RP-01,NIST CSF v2.0,RECOVER (RC),Incident Recovery Plan Execution (RC.RP),RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process,1st: 1st Party Risk Ex1: Begin recovery procedures during or after incident response processes Ex2: Make all individuals with recovery responsibilities aware of the plans for recovery and the authorizations required to implement each aspect of the plans
RC.RP-02,NIST CSF v2.0-RC.RP-02,NIST CSF v2.0,RECOVER (RC),Incident Recovery Plan Execution (RC.RP),"RC.RP-02: Recovery actions are selected, scoped, prioritized, and performed",1st: 1st Party Risk Ex1: Select recovery actions based on the criteria defined in the incident response plan and available resources Ex2: Change planned recovery actions based on a reassessment of organizational needs and resources
RC.RP-03,NIST CSF v2.0-RC.RP-03,NIST CSF v2.0,RECOVER (RC),Incident Recovery Plan Execution (RC.RP),RC.RP-03: The integrity of backups and other restoration assets is verified before using them for restoration,"1st: 1st Party Risk Ex1: Check restoration assets for indicators of compromise, file corruption, and other integrity issues before use"
RC.RP-04,NIST CSF v2.0-RC.RP-04,NIST CSF v2.0,RECOVER (RC),Incident Recovery Plan Execution (RC.RP),RC.RP-04: Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,1st: 1st Party Risk Ex1: Use business impact and system categorization records (including service delivery objectives) to validate that essential services are restored in the appropriate order Ex2: Work with system owners to confirm the successful restoration of systems and the return to normal operations Ex3: Monitor the performance of restored systems to verify the adequacy of the restoration
RC.RP-05,NIST CSF v2.0-RC.RP-05,NIST CSF v2.0,RECOVER (RC),Incident Recovery Plan Execution (RC.RP),"RC.RP-05: The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",1st: 1st Party Risk Ex1: Check restored assets for indicators of compromise and remediation of root causes of the incident before production use Ex2: Verify the correctness and adequacy of the restoration actions taken before putting a restored system online
RC.RP-06,NIST CSF v2.0-RC.RP-06,NIST CSF v2.0,RECOVER (RC),Incident Recovery Plan Execution (RC.RP),"RC.RP-06: The end of incident recovery is declared based on criteria, and incident-related documentation is completed","1st: 1st Party Risk Ex1: Prepare an after-action report that documents the incident itself, the response and recovery actions taken, and lessons learned Ex2: Declare the end of incident recovery once the criteria are met"
RS.AN-03,NIST CSF v2.0-RS.AN-03,NIST CSF v2.0,RESPOND (RS),Incident Analysis (RS.AN),RS.AN-03: Analysis is performed to establish what has taken place during an incident and the root cause of the incident,"1st: 1st Party Risk Ex1: Determine the sequence of events that occurred during the incident and which assets and resources were involved in each event Ex2: Attempt to determine what vulnerabilities, threats, and threat actors were directly or indirectly involved in the incident Ex3: Analyze the incident to find the underlying, systemic root causes Ex4: Check any cyber deception technology for additional information on attacker behavior"
RS.AN-06,NIST CSF v2.0-RS.AN-06,NIST CSF v2.0,RESPOND (RS),Incident Analysis (RS.AN),"RS.AN-06: Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved","1st: 1st Party Risk Ex1: Require each incident responder and others (e.g., system administrators, cybersecurity engineers) who perform incident response tasks to record their actions and make the record immutable Ex2: Require the incident lead to document the incident in detail and be responsible for preserving the integrity of the documentation and the sources of all information being reported"
RS.AN-07,NIST CSF v2.0-RS.AN-07,NIST CSF v2.0,RESPOND (RS),Incident Analysis (RS.AN),"RS.AN-07: Incident data and metadata are collected, and their integrity and provenance are preserved","1st: 1st Party Risk Ex1: Collect, preserve, and safeguard the integrity of all pertinent incident data and metadata (e.g., data source, date/time of collection) based on evidence preservation and chain-of-custody procedures"
RS.AN-08,NIST CSF v2.0-RS.AN-08,NIST CSF v2.0,RESPOND (RS),Incident Analysis (RS.AN),RS.AN-08: An incident's magnitude is estimated and validated,1st: 1st Party Risk Ex1: Review other potential targets of the incident to search for indicators of compromise and evidence of persistence Ex2: Automatically run tools on targets to look for indicators of compromise and evidence of persistence
RS.CO-02,NIST CSF v2.0-RS.CO-02,NIST CSF v2.0,RESPOND (RS),Incident Response Reporting and Communication (RS.CO),RS.CO-02: Internal and external stakeholders are notified of incidents,"1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Follow the organization's breach notification procedures after discovering a data breach incident, including notifying affected customers Ex2: Notify business partners and customers of incidents in accordance with contractual requirements Ex3: Notify law enforcement agencies and regulatory bodies of incidents based on criteria in the incident response plan and management approval"
RS.CO-03,NIST CSF v2.0-RS.CO-03,NIST CSF v2.0,RESPOND (RS),Incident Response Reporting and Communication (RS.CO),RS.CO-03: Information is shared with designated internal and external stakeholders,"1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Securely share information consistent with response plans and information sharing agreements Ex2: Voluntarily share information about an attacker's observed TTPs, with all sensitive data removed, with an Information Sharing and Analysis Center (ISAC) Ex3: Notify HR when malicious insider activity occurs Ex4: Regularly update senior leadership on the status of major incidents Ex5: Follow the rules and protocols defined in contracts for incident information sharing between the organization and its suppliers Ex6: Coordinate crisis communication methods between the organization and its critical suppliers"
RS.MA-01,NIST CSF v2.0-RS.MA-01,NIST CSF v2.0,RESPOND (RS),Incident Management (RS.MA),RS.MA-01: The incident response plan is executed in coordination with relevant third parties once an incident is declared,"Ex1: Detection technologies automatically report confirmed incidents Ex2: Request incident response assistance from the organization's incident response outsourcer Ex3: Designate an incident lead for each incident Ex4: Initiate execution of additional cybersecurity plans as needed to support incident response (for example, business continuity and disaster recovery) 3rd: 3rd Party Risk"
RS.MA-02,NIST CSF v2.0-RS.MA-02,NIST CSF v2.0,RESPOND (RS),Incident Management (RS.MA),RS.MA-02: Incident reports are triaged and validated,1st: 1st Party Risk Ex1: Preliminarily review incident reports to confirm that they are cybersecurity-related and necessitate incident response activities Ex2: Apply criteria to estimate the severity of an incident
RS.MA-03,NIST CSF v2.0-RS.MA-03,NIST CSF v2.0,RESPOND (RS),Incident Management (RS.MA),RS.MA-03: Incidents are categorized and prioritized,"1st: 1st Party Risk Ex1: Further review and categorize incidents based on the type of incident (e.g., data breach, ransomware, DDoS, account compromise) Ex2: Prioritize incidents based on their scope, likely impact, and time-critical nature Ex3: Select incident response strategies for active incidents by balancing the need to quickly recover from an incident with the need to observe the attacker or conduct a more thorough investigation"
RS.MA-04,NIST CSF v2.0-RS.MA-04,NIST CSF v2.0,RESPOND (RS),Incident Management (RS.MA),RS.MA-04: Incidents are escalated or elevated as needed,1st: 1st Party Risk Ex1: Track and validate the status of all ongoing incidents Ex2: Coordinate incident escalation or elevation with designated internal and external stakeholders
RS.MA-05,NIST CSF v2.0-RS.MA-05,NIST CSF v2.0,RESPOND (RS),Incident Management (RS.MA),RS.MA-05: The criteria for initiating incident recovery are applied,1st: 1st Party Risk Ex1: Apply incident recovery criteria to known and assumed characteristics of the incident to determine whether incident recovery processes should be initiated Ex2: Take the possible operational disruption of incident recovery activities into account
RS.MI-01,NIST CSF v2.0-RS.MI-01,NIST CSF v2.0,RESPOND (RS),Incident Mitigation (RS.MI),RS.MI-01: Incidents are contained,"1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Cybersecurity technologies (e.g., antivirus software) and cybersecurity features of other technologies (e.g., operating systems, network infrastructure devices) automatically perform containment actions Ex2: Allow incident responders to manually select and perform containment actions Ex3: Allow a third party (e.g., internet service provider, managed security service provider) to perform containment actions on behalf of the organization Ex4: Automatically transfer compromised endpoints to a remediation virtual local area network (VLAN)"
RS.MI-02,NIST CSF v2.0-RS.MI-02,NIST CSF v2.0,RESPOND (RS),Incident Mitigation (RS.MI),RS.MI-02: Incidents are eradicated,"1st: 1st Party Risk 3rd: 3rd Party Risk Ex1: Cybersecurity technologies and cybersecurity features of other technologies (e.g., operating systems, network infrastructure devices) automatically perform eradication actions Ex2: Allow incident responders to manually select and perform eradication actions Ex3: Allow a third party (e.g., managed security service provider) to perform eradication actions on behalf of the organization"
1.1.1,PCI DSS v4.0-1.1.1,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.1 Processes and mechanisms for installing and maintaining network security controls are defined and understood.,1.1.1 All security policies and operational procedures that are identified in Requirement 1 are:  • Documented. • Kept up to date. • In use. • Known to all affected parties.,
1.1.2,PCI DSS v4.0-1.1.2,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.2 Network security controls (NSCs) are configured and maintained.,"1.1.2 Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.",
1.2.1,PCI DSS v4.0-1.2.1,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.2 Network security controls (NSCs) are configured and maintained.,1.2.1 Configuration standards for NSC rulesets are: • Defined. • Implemented. • Maintained.,
1.2.2,PCI DSS v4.0-1.2.2,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.2 Network security controls (NSCs) are configured and maintained.,"1.2.2 All changes to network connections and to configurations of NSCs are approved and managed in accordance with the change control process defined at Requirement 6.5.1. Applicability Notes Changes to network connections include the addition, removal, or modification of a connection.  Changes to NSC configurations include those related to the component itself as well as those affecting how it performs its security function.",
1.2.3,PCI DSS v4.0-1.2.3,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.2 Network security controls (NSCs) are configured and maintained.,"1.2.3 An accurate network diagram(s) is maintained that shows all connections between the CDE and other networks, including any wireless networks. Applicability Notes A current network diagram(s) or other technical or topological solution that identifies network connections and devices can be used to meet this requirement.",
1.2.4,PCI DSS v4.0-1.2.4,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.2 Network security controls (NSCs) are configured and maintained.,1.2.4 An accurate data-flow diagram(s) is maintained that meets the following:  • Shows all account data flows across systems and networks. • Updated as needed upon changes to the environment. Applicability Notes A data-flow diagram(s) or other technical or topological solution that identifies flows of account data across systems and networks can be used to meet this requirement.,
1.2.5,PCI DSS v4.0-1.2.5,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.2 Network security controls (NSCs) are configured and maintained.,"1.2.5 All services, protocols and ports allowed are identified, approved, and have a defined business need.",
1.2.6,PCI DSS v4.0-1.2.6,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.2 Network security controls (NSCs) are configured and maintained.,"1.2.6 Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.",
1.2.7,PCI DSS v4.0-1.2.7,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.2 Network security controls (NSCs) are configured and maintained.,1.2.7 Configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective.,
1.2.8,PCI DSS v4.0-1.2.8,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.2 Network security controls (NSCs) are configured and maintained.,"1.2.8 Configuration files for NSCs are:  • Secured from unauthorized access.  • Kept consistent with active network configurations.  Applicability Notes Any file or setting used to configure or synchronize NSCs is considered to be a “configuration file.” This includes files, automated and system-based controls, scripts, settings, infrastructure as code, or other parameters that are backed up, archived, or stored remotely.",
1.3.1,PCI DSS v4.0-1.3.1,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.3 Network access to and from the cardholder data environment is restricted.,"1.3.1 Inbound traffic to the CDE is restricted as follows:  • To only traffic that is necessary,  • All other traffic is specifically denied.",
1.3.2,PCI DSS v4.0-1.3.2,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.3 Network access to and from the cardholder data environment is restricted.,1.3.2 Outbound traffic from the CDE is restricted as follows:  • To only traffic that is necessary. • All other traffic is specifically denied.,
1.3.3,PCI DSS v4.0-1.3.3,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.3 Network access to and from the cardholder data environment is restricted.,"1.3.3 NSCs are installed between all wireless networks and the CDE, regardless of whether the wireless network is a CDE, such that:  • All wireless traffic from wireless networks into the CDE is denied by default. • Only wireless traffic with an authorized business purpose is allowed into the CDE.",
1.4.1,PCI DSS v4.0-1.4.1,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.4 Network connections between trusted and untrusted networks are controlled.,1.4.1 NSCs are implemented between trusted and untrusted networks.,
1.4.2,PCI DSS v4.0-1.4.2,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.4 Network connections between trusted and untrusted networks are controlled.,"1.4.2 Inbound traffic from untrusted networks to trusted networks is restricted to:  • Communications with system components that are authorized to provide publicly accessible services, protocols, and ports. • Stateful responses to communications initiated by system components in a trusted network. • All other traffic is denied. Applicability Notes The intent of this requirement is to address communication sessions between trusted and untrusted networks, rather than the specifics of protocols. This requirement does not limit the use of UDP or other connectionless network protocols if state is maintained by the NSC.",
1.4.3,PCI DSS v4.0-1.4.3,PCI DSS v4.0,Requirement 1: Install and Maintain Network Security Controls,1.4 Network connections between trusted and untrusted networks are controlled.,1.4.3 Anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.,
